exiobase name,exiobase unit,ecoinvent name,ecoinvent category,ecoinvent subcategory,ecoinvent unit,scale factor,new flow,comment
CH4 - non combustion - Oil refinery - air,kg,"Methane, fossil",air,non-urban air or from high stacks,kg,1,0,
CH4 - waste - air,kg,"Methane, fossil",air,,kg,1,0,Mix of fossil and non-fossil
CO - combustion - air,kg,"Carbon monoxide, fossil",air,,kg,1,0,
CO - non combustion - Agglomeration plant - sinter - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Bricks production - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Carbon black production - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Cement production - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
"CO - non combustion - Chemical wood pulp, dissolving grades - air",kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,Could be rural air
"CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,Could be rural air
"CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,Could be rural air
CO - non combustion - Glass production - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Lime production - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Oil refinery - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
"CO - non combustion - Pig iron production, blast furnace - air",kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Primary aluminium production - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Production of coke oven coke - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Production of gascoke - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
"CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Steel production: basic oxygen furnace - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - non combustion - Steel production: electric arc furnace - air,kg,"Carbon monoxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO - waste - air,kg,"Carbon monoxide, fossil",air,,kg,1,0,
CO2 - agriculture - peat decay - air,kg,"Carbon dioxide, non-fossil",air,"low population density, long-term",kg,1,0,
CO2 - combustion - air,kg,"Carbon dioxide, fossil",air,,kg,1,0,
CO2 - non combustion - Cement production - air,kg,"Carbon dioxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO2 - non combustion - Lime production - air,kg,"Carbon dioxide, fossil",air,non-urban air or from high stacks,kg,1,0,
CO2 - waste - biogenic - air,kg,"Carbon dioxide, non-fossil",air,,kg,1,0,
CO2 - waste - fossil - air,kg,"Carbon dioxide, fossil",air,,kg,1,0,
Cr - combustion - air,kg,Chromium III,air,,kg,1,0,
Cr - non combustion - Agglomeration plant - pellets - air,kg,Chromium III,air,non-urban air or from high stacks,kg,1,0,
Cr - non combustion - Agglomeration plant - sinter - air,kg,Chromium III,air,non-urban air or from high stacks,kg,1,0,
Cr - non combustion - Glass production - air,kg,Chromium III,air,non-urban air or from high stacks,kg,1,0,
"Cr - non combustion - Pig iron production, blast furnace - air",kg,Chromium III,air,non-urban air or from high stacks,kg,1,0,
Cr - non combustion - Steel production: basic oxygen furnace - air,kg,Chromium III,air,non-urban air or from high stacks,kg,1,0,
Cr - non combustion - Steel production: electric arc furnace - air,kg,Chromium III,air,non-urban air or from high stacks,kg,1,0,
Cr - non combustion - Steel production: open hearth furnace - air,kg,Chromium III,air,non-urban air or from high stacks,kg,1,0,
Cu - combustion - air,kg,Copper ion,air,,kg,1,0,
Cu - non combustion - Agglomeration plant - pellets - air,kg,Copper ion,air,non-urban air or from high stacks,kg,1,0,
Cu - non combustion - Agglomeration plant - sinter - air,kg,Copper ion,air,non-urban air or from high stacks,kg,1,0,
Cu - non combustion - Glass production - air,kg,Copper ion,air,non-urban air or from high stacks,kg,1,0,
"Cu - non combustion - Pig iron production, blast furnace - air",kg,Copper ion,air,non-urban air or from high stacks,kg,1,0,
Cu - non combustion - Steel production: basic oxygen furnace - air,kg,Copper ion,air,non-urban air or from high stacks,kg,1,0,
Cu - non combustion - Steel production: electric arc furnace - air,kg,Copper ion,air,non-urban air or from high stacks,kg,1,0,
Cu - non combustion - Steel production: open hearth furnace - air,kg,Copper ion,air,non-urban air or from high stacks,kg,1,0,
Emissions nec - waste - undef,kg,,,,,1,0,
HCB - combustion - air,kg,"Benzene, hexachloro-",air,,kg,1,0,
HCB - non combustion - Agglomeration plant - pellets - air,kg,"Benzene, hexachloro-",air,non-urban air or from high stacks,kg,1,0,
HCB - non combustion - Agglomeration plant - sinter - air,kg,"Benzene, hexachloro-",air,non-urban air or from high stacks,kg,1,0,
HCB - non combustion - Secondary aluminium production - air,kg,"Benzene, hexachloro-",air,non-urban air or from high stacks,kg,1,0,
HFC - air,kg CO2-eq,,air,,,1,1,Weird unit means no 1-to-n matches possible
Hg - combustion - air,kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
Hg - non combustion - Agglomeration plant - pellets - air,kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
Hg - non combustion - Agglomeration plant - sinter - air,kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
Hg - non combustion - Glass production - air,kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
"Hg - non combustion - Nickel, unwrought - air",kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
"Hg - non combustion - Pig iron production, blast furnace - air",kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
Hg - non combustion - Production of coke oven coke - air,kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
Hg - non combustion - Production of gascoke - air,kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
"Hg - non combustion - Refined copper; unwrought, not alloyed - air",kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
"Hg - non combustion - Refined lead, unwrought - air",kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
Hg - non combustion - Steel production: basic oxygen furnace - air,kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
Hg - non combustion - Steel production: electric arc furnace - air,kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
"Hg - non combustion - Zinc, unwrought, not alloyed - air",kg,Mercury II,air,non-urban air or from high stacks,kg,1,0,
Indeno - non combustion - Primary aluminium production - air,kg,"Indeno(1,2,3-cd)pyrene",air,,kg,1,0,
Indeno - non combustion - Production of coke oven coke - air,kg,"Indeno(1,2,3-cd)pyrene",air,,kg,1,0,"Should be from high stacks, but this is missing in ecoinvent flow list"
Indeno - non combustion - Production of gascoke - air,kg,"Indeno(1,2,3-cd)pyrene",air,,kg,1,0,"Should be from high stacks, but this is missing in ecoinvent flow list"
"Indeno(1,2,3-cd)pyrene - combustion - air",kg,"Indeno(1,2,3-cd)pyrene",air,,kg,1,0,"Should be from high stacks, but this is missing in ecoinvent flow list"
