exiobase name,exiobase unit,ecoinvent name,ecoinvent category,ecoinvent subcategory,ecoinvent unit,scale factor,new flow,comment
PCB - non combustion - Steel production: basic oxygen furnace - air,kg,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,1,0,
PCB - non combustion - Steel production: electric arc furnace - air,kg,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,1,0,
PCBs - combustion - air,kg,Polychlorinated biphenyls,air,,kg,1,0,
PCDD_F - combustion - air,kg,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air,,kg,1,0,
PCDD/F - non combustion - Agglomeration plant - pellets - air,kg,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air,non-urban air or from high stacks,kg,1,0,
PCDD/F - non combustion - Agglomeration plant - sinter - air,kg,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air,non-urban air or from high stacks,kg,1,0,
"PCDD/F - non combustion - Pig iron production, blast furnace - air",kg,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air,non-urban air or from high stacks,kg,1,0,
PCDD/F - non combustion - Secondary aluminium production - air,kg,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air,non-urban air or from high stacks,kg,1,0,
PCDD/F - non combustion - Steel production: basic oxygen furnace - air,kg,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air,non-urban air or from high stacks,kg,1,0,
PCDD/F - non combustion - Steel production: electric arc furnace - air,kg,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air,non-urban air or from high stacks,kg,1,0,
PFC - air,kg CO2-eq,,air,,,1,1,Weird unit means no 1-to-n matches possible
PM10 - combustion - air,kg,,,,,1,0,Omitted to avoid double counting with PM2.5
PM10 - non combustion - Agglomeration plant - pellets - air,kg,,,,,1,0,
PM10 - non combustion - Agglomeration plant - sinter - air,kg,,,,,1,0,
PM10 - non combustion - Aluminium ores and concentrates (Bauxite) - air,kg,,,,,1,0,
PM10 - non combustion - Bricks production - air,kg,,,,,1,0,
PM10 - non combustion - Briquettes production - air,kg,,,,,1,0,
PM10 - non combustion - Carbon black production - air,kg,,,,,1,0,
PM10 - non combustion - Cast iron production (grey iron foundries) - air,kg,,,,,1,0,
PM10 - non combustion - Cement production - air,kg,,,,,1,0,
"PM10 - non combustion - Chemical wood pulp, dissolving grades - air",kg,,,,,1,0,
"PM10 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg,,,,,1,0,
"PM10 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg,,,,,1,0,
PM10 - non combustion - Chromium ores and concentrates - air,kg,,,,,1,0,
PM10 - non combustion - Copper ores and concentrates - air,kg,,,,,1,0,
PM10 - non combustion - Fertilizer production (N-fertilizer) - air,kg,,,,,1,0,
PM10 - non combustion - Glass production - air,kg,,,,,1,0,
PM10 - non combustion - Gold ores and concentrates - air,kg,,,,,1,0,
PM10 - non combustion - Iron ores and concentrates - air,kg,,,,,1,0,
PM10 - non combustion - Lead ores and concentrates - air,kg,,,,,1,0,
PM10 - non combustion - Lime production - air,kg,,,,,1,0,
PM10 - non combustion - Mining of antracite - air,kg,,,,,1,0,
PM10 - non combustion - Mining of bituminous coal - air,kg,,,,,1,0,
PM10 - non combustion - Mining of coking coal - air,kg,,,,,1,0,
PM10 - non combustion - Mining of lignite (brown coal) - air,kg,,,,,1,0,
PM10 - non combustion - Mining of sub-bituminous coal - air,kg,,,,,1,0,
PM10 - non combustion - Molybdenum ores and concentrates - air,kg,,,,,1,0,
PM10 - non combustion - N- fertilizer production - air,kg,,,,,1,0,
PM10 - non combustion - Nickel ores and concentrates - air,kg,,,,,1,0,
"PM10 - non combustion - Nickel, unwrought - air",kg,,,,,1,0,
PM10 - non combustion - Oil refinery - air,kg,,,,,1,0,
"PM10 - non combustion - Pig iron production, blast furnace - air",kg,,,,,1,0,
PM10 - non combustion - Platinum ores and concentrates - air,kg,,,,,1,0,
PM10 - non combustion - Primary aluminium production - air,kg,,,,,1,0,
PM10 - non combustion - Production of coke oven coke - air,kg,,,,,1,0,
PM10 - non combustion - Production of gascoke - air,kg,,,,,1,0,
"PM10 - non combustion - Refined copper; unwrought, not alloyed - air",kg,,,,,1,0,
"PM10 - non combustion - Refined lead, unwrought - air",kg,,,,,1,0,
PM10 - non combustion - Secondary aluminium production - air,kg,,,,,1,0,
"PM10 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg,,,,,1,0,
PM10 - non combustion - Silver ores and concentrates - air,kg,,,,,1,0,
PM10 - non combustion - Steel production: basic oxygen furnace - air,kg,,,,,1,0,
PM10 - non combustion - Steel production: electric arc furnace - air,kg,,,,,1,0,
PM10 - non combustion - Steel production: open hearth furnace - air,kg,,,,,1,0,
PM10 - non combustion - Tin ores and concentrates - air,kg,,,,,1,0,
PM10 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg,,,,,1,0,
PM10 - non combustion - Zinc ores and concentrates - air,kg,,,,,1,0,
"PM10 - non combustion - Zinc, unwrought, not alloyed - air",kg,,,,,1,0,
PM2.5 - combustion - air,kg,"Particulate Matter, < 2.5 um",air,,kg,1,0,
PM2.5 - non combustion - Agglomeration plant - pellets - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Agglomeration plant - sinter - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite) - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Bricks production - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Briquettes production - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Carbon black production - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Cast iron production (grey iron foundries) - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Cement production - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
"PM2.5 - non combustion - Chemical wood pulp, dissolving grades - air",kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
"PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
"PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Chromium ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Copper ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Fertilizer production (N-fertilizer) - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Glass production - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Gold ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Iron ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Lead ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Lime production - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Mining of antracite - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Mining of bituminous coal - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Mining of coking coal - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Mining of lignite (brown coal) - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Mining of sub-bituminous coal - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Molybdenum ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - N- fertilizer production - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Nickel ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
"PM2.5 - non combustion - Nickel, unwrought - air",kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Oil refinery - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
"PM2.5 - non combustion - Pig iron production, blast furnace - air",kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Platinum ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Primary aluminium production - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Production of coke oven coke - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Production of gascoke - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
"PM2.5 - non combustion - Refined copper; unwrought, not alloyed - air",kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
"PM2.5 - non combustion - Refined lead, unwrought - air",kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Secondary aluminium production - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
"PM2.5 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Silver ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Steel production: basic oxygen furnace - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Steel production: electric arc furnace - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Steel production: open hearth furnace - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Tin ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - non combustion - Zinc ores and concentrates - air,kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
"PM2.5 - non combustion - Zinc, unwrought, not alloyed - air",kg,"Particulate Matter, < 2.5 um",air,non-urban air or from high stacks,kg,1,0,
PM2.5 - waste - air,kg,"Particulate Matter, < 2.5 um",air,,kg,1,0,
Pxx - agriculture - soil,kg,,,,,1,0,?
Se - combustion - air,kg,Selenium IV,air,,kg,1,0,
Se - non combustion - Agglomeration plant - pellets - air,kg,Selenium IV,air,non-urban air or from high stacks,kg,1,0,
Se - non combustion - Agglomeration plant - sinter - air,kg,Selenium IV,air,non-urban air or from high stacks,kg,1,0,
Se - non combustion - Glass production - air,kg,Selenium IV,air,non-urban air or from high stacks,kg,1,0,
Se - non combustion - Steel production: basic oxygen furnace - air,kg,Selenium IV,air,non-urban air or from high stacks,kg,1,0,
SF6 - air,kg,Sulfur hexafluoride,air,,kg,1,0,
SOx - combustion - air,kg,Sulfur dioxide,air,,kg,1,0,
SOx - non combustion - Agglomeration plant - sinter - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - non combustion - Bricks production - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - non combustion - Cement production - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
"SOx - non combustion - Chemical wood pulp, dissolving grades - air",kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
"SOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
"SOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - non combustion - Glass production - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - non combustion - Lime production - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
"SOx - non combustion - Nickel, unwrought - air",kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - non combustion - Oil refinery - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
"SOx - non combustion - Pig iron production, blast furnace - air",kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - non combustion - Production of coke oven coke - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - non combustion - Production of gascoke - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
"SOx - non combustion - Refined copper; unwrought, not alloyed - air",kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
"SOx - non combustion - Refined lead, unwrought - air",kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
"SOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - non combustion - Sulphuric acid production - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
"SOx - non combustion - Zinc, unwrought, not alloyed - air",kg,Sulfur dioxide,air,non-urban air or from high stacks,kg,1,0,
SOx - waste - air,kg,Sulfur dioxide,air,,kg,1,0,
TSP - combustion - air,kg,,,,,1,0,Total suspended particulates
TSP - non combustion - Agglomeration plant - pellets - air,kg,,,,,1,0,
TSP - non combustion - Agglomeration plant - sinter - air,kg,,,,,1,0,
TSP - non combustion - Aluminium ores and concentrates (Bauxite) - air,kg,,,,,1,0,
TSP - non combustion - Bricks production - air,kg,,,,,1,0,
TSP - non combustion - Briquettes production - air,kg,,,,,1,0,
TSP - non combustion - Carbon black production - air,kg,,,,,1,0,
TSP - non combustion - Cast iron production (grey iron foundries) - air,kg,,,,,1,0,
TSP - non combustion - Cement production - air,kg,,,,,1,0,
"TSP - non combustion - Chemical wood pulp, dissolving grades - air",kg,,,,,1,0,
"TSP - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg,,,,,1,0,
"TSP - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg,,,,,1,0,
TSP - non combustion - Chromium ores and concentrates - air,kg,,,,,1,0,
TSP - non combustion - Copper ores and concentrates - air,kg,,,,,1,0,
TSP - non combustion - Fertilizer production (N-fertilizer) - air,kg,,,,,1,0,
TSP - non combustion - Glass production - air,kg,,,,,1,0,
TSP - non combustion - Gold ores and concentrates - air,kg,,,,,1,0,
TSP - non combustion - Iron ores and concentrates - air,kg,,,,,1,0,
TSP - non combustion - Lead ores and concentrates - air,kg,,,,,1,0,
TSP - non combustion - Lime production - air,kg,,,,,1,0,
TSP - non combustion - Mining of antracite - air,kg,,,,,1,0,
TSP - non combustion - Mining of bituminous coal - air,kg,,,,,1,0,
TSP - non combustion - Mining of coking coal - air,kg,,,,,1,0,
TSP - non combustion - Mining of lignite (brown coal) - air,kg,,,,,1,0,
TSP - non combustion - Mining of sub-bituminous coal - air,kg,,,,,1,0,
TSP - non combustion - Molybdenum ores and concentrates - air,kg,,,,,1,0,
TSP - non combustion - N- fertilizer production - air,kg,,,,,1,0,
TSP - non combustion - Nickel ores and concentrates - air,kg,,,,,1,0,
"TSP - non combustion - Nickel, unwrought - air",kg,,,,,1,0,
TSP - non combustion - Oil refinery - air,kg,,,,,1,0,
"TSP - non combustion - Pig iron production, blast furnace - air",kg,,,,,1,0,
TSP - non combustion - Platinum ores and concentrates - air,kg,,,,,1,0,
TSP - non combustion - Primary aluminium production - air,kg,,,,,1,0,
TSP - non combustion - Production of coke oven coke - air,kg,,,,,1,0,
TSP - non combustion - Production of gascoke - air,kg,,,,,1,0,
"TSP - non combustion - Refined copper; unwrought, not alloyed - air",kg,,,,,1,0,
"TSP - non combustion - Refined lead, unwrought - air",kg,,,,,1,0,
TSP - non combustion - Secondary aluminium production - air,kg,,,,,1,0,
"TSP - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg,,,,,1,0,
TSP - non combustion - Silver ores and concentrates - air,kg,,,,,1,0,
TSP - non combustion - Steel production: basic oxygen furnace - air,kg,,,,,1,0,
TSP - non combustion - Steel production: electric arc furnace - air,kg,,,,,1,0,
TSP - non combustion - Steel production: open hearth furnace - air,kg,,,,,1,0,
TSP - non combustion - Tin ores and concentrates - air,kg,,,,,1,0,
TSP - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg,,,,,1,0,
TSP - non combustion - Zinc ores and concentrates - air,kg,,,,,1,0,
"TSP - non combustion - Zinc, unwrought, not alloyed - air",kg,,,,,1,0,
Zn - combustion - air,kg,Zinc II,air,,kg,1,0,
Zn - non combustion - Agglomeration plant - pellets - air,kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
Zn - non combustion - Agglomeration plant - sinter - air,kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
Zn - non combustion - Glass production - air,kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
"Zn - non combustion - Nickel, unwrought - air",kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
"Zn - non combustion - Pig iron production, blast furnace - air",kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
"Zn - non combustion - Refined copper; unwrought, not alloyed - air",kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
"Zn - non combustion - Refined lead, unwrought - air",kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
Zn - non combustion - Steel production: basic oxygen furnace - air,kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
Zn - non combustion - Steel production: electric arc furnace - air,kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
Zn - non combustion - Steel production: open hearth furnace - air,kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
"Zn - non combustion - Zinc, unwrought, not alloyed - air",kg,Zinc II,air,non-urban air or from high stacks,kg,1,0,
Cropland - Cereal grains nec,km2,"Occupation, annual crop",natural resource,land,m2,1000000,0,
Cropland - Crops nec,km2,"Occupation, annual crop",natural resource,land,m2,1000000,0,
Cropland - Fodder crops-Cattle,km2,"Occupation, permanent crop",natural resource,land,m2,1000000,0,
Cropland - Fodder crops-Meat animals nec,km2,"Occupation, permanent crop",natural resource,land,m2,1000000,0,
Cropland - Fodder crops-Pigs,km2,"Occupation, permanent crop",natural resource,land,m2,1000000,0,
Cropland - Fodder crops-Poultry,km2,"Occupation, permanent crop",natural resource,land,m2,1000000,0,
Cropland - Fodder crops-Raw milk,km2,"Occupation, permanent crop",natural resource,land,m2,1000000,0,
Cropland - Oil seeds,km2,"Occupation, annual crop",natural resource,land,m2,1000000,0,
Cropland - Paddy rice,km2,"Occupation, annual crop, irrigated, intensive",natural resource,land,m2,1000000,0,
Cropland - Plant-based fibers,km2,"Occupation, annual crop",natural resource,land,m2,1000000,0,
"Cropland - Sugar cane, sugar beet",km2,"Occupation, annual crop",natural resource,land,m2,1000000,0,
"Cropland - Vegetables, fruit, nuts",km2,"Occupation, annual crop",natural resource,land,m2,1000000,0,
Cropland - Wheat,km2,"Occupation, annual crop",natural resource,land,m2,1000000,0,
Forest area - Forestry,km2,"Occupation, forest, extensive",natural resource,land,m2,1000000,0,
Other land Use: Total,km2,"Occupation, unspecified",natural resource,land,m2,1000000,0,
Permanent pastures - Grazing-Cattle,km2,"Occupation, pasture, man made",natural resource,land,m3,1000000,0,
Permanent pastures - Grazing-Meat animals nec,km2,"Occupation, pasture, man made",natural resource,land,m4,1000000,0,
Permanent pastures - Grazing-Raw milk,km2,"Occupation, pasture, man made",natural resource,land,m5,1000000,0,
Infrastructure land,km2,"Occupation, urban, discontinuously built",natural resource,land,m6,1000000,0,
Forest area - Marginal use,km2,"Occupation, forest, extensive",natural resource,land,m7,1000000,0,
Energy Inputs from Nature: Total,TJ,,energy,,,1,1,
Emission Relevant Energy Carrier: Total,TJ,,energy,,,1,1,
Energy Carrier Supply: Total,TJ,,energy,,,1,1,
Energy Carrier Use: Total,TJ,,energy,,,1,1,
Domestic Extraction Used - Crop residues - Feed,kt,,mass,,,1,1,
Domestic Extraction Used - Crop residues - Straw,kt,,mass,,,1,1,
Domestic Extraction Used - Fishery - Aquatic plants,kt,,mass,,,1,1,
Domestic Extraction Used - Fishery - Inland waters fish catch,kt,,mass,,,1,1,
Domestic Extraction Used - Fishery - Marine fish catch,kt,,mass,,,1,1,
Domestic Extraction Used - Fishery - Other (e.g. Aquatic mammals),kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Alfalfa for Forage and Silage,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Beets for Fodder,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Cabbage for Fodder,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Carrots for Fodder,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Clover for Forage and Silage,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Forage Products nec,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Grasses nec for Forage and Silage,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Green Oilseeds for Fodder,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Leguminous nec for forage and Silage,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Maize for Forage and Silage,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Other grasses,kt,,mass,,,1,1,
"Domestic Extraction Used - Fodder crops - Rye Grass, Forage and Silage",kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Sorghum for Forage and Silage,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Swedes for Fodder,kt,,mass,,,1,1,
Domestic Extraction Used - Fodder crops - Turnips for Fodder,kt,,mass,,,1,1,
"Domestic Extraction Used - Fodder crops - Vegetables and Roots, Fodder",kt,,mass,,,1,1,
Domestic Extraction Used - Forestry - Coniferous wood - Industrial roundwood,kt,,mass,,,1,1,
Domestic Extraction Used - Forestry - Coniferous wood - Wood fuel,kt,,mass,,,1,1,
Domestic Extraction Used - Forestry - Kapok Fruit,kt,,mass,,,1,1,
Domestic Extraction Used - Forestry - Natural Gums,kt,,mass,,,1,1,
Domestic Extraction Used - Forestry - Non-coniferous wood - Industrial roundwood,kt,,mass,,,1,1,
Domestic Extraction Used - Forestry - Non-coniferous wood - Wood fuel,kt,,mass,,,1,1,
Domestic Extraction Used - Forestry - Raw materials other than wood,kt,,mass,,,1,1,
Domestic Extraction Used - Fossil Fuel: Total,kt,,mass,,,1,1,
Domestic Extraction Used - Grazing,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Bauxite and aluminium ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Copper ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Gold ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Iron ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Lead ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Nickel ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Other non-ferrous metal ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - PGM ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Silver ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Tin ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Uranium and thorium ores,kt,,mass,,,1,1,
Domestic Extraction Used - Metal Ores - Zinc ores,kt,,mass,,,1,1,
Domestic Extraction Used - Non-Metallic Minerals - Building stones,kt,,mass,,,1,1,
Domestic Extraction Used - Non-Metallic Minerals - Chemical and fertilizer minerals,kt,,mass,,,1,1,
Domestic Extraction Used - Non-Metallic Minerals - Clays and kaolin,kt,,mass,,,1,1,
Domestic Extraction Used - Non-Metallic Minerals - Gravel and sand,kt,,mass,,,1,1,
"Domestic Extraction Used - Non-Metallic Minerals - Limestone, gypsum, chalk, dolomite",kt,,mass,,,1,1,
Domestic Extraction Used - Non-Metallic Minerals - Other minerals,kt,,mass,,,1,1,
Domestic Extraction Used - Non-Metallic Minerals - Salt,kt,,mass,,,1,1,
Domestic Extraction Used - Non-Metallic Minerals - Slate,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Kapokseed in Shell,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Honey,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Beeswax,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Abaca,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Agave Fibres nes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Almonds,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Anise, Badian, Fennel",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Apples,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Apricots,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Arecanuts,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Artichokes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Asparagus,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Avocados,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Bambara beans,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Bananas,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Barley,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Beans, dry",kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Beans, green",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Berries nec,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Blueberries,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Brazil nuts, with shell",kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Broad beans, horse beans, dry",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Buckwheat,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cabbages,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Canary Seed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Carobs,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Carrots,kt,,mass,,,1,1,
